row_type,base_run_name,run_name,backend,model_name,seed,split_seed,num_runs,accuracy,accuracy_std,auc_0,auc_1,auc_2,auc_3,auc_4,auc_W,auc_W/Z/top,auc_W_std,auc_Z,auc_Z_std,auc_gluon,auc_gluon_std,auc_quark,auc_quark/gluon,auc_quark_std,auc_top,auc_top_std,cpu_latency_ms,cpu_latency_ms_std,gpu_latency_ms,gpu_latency_ms_std,macro_auc,macro_auc_std,model_size_bytes,model_size_bytes_std,parameter_count,parameter_count_std
run,binary_hgq_mlp_64_32_32,binary_hgq_mlp_64_32_32__seed43,hgq,hgq_mlp,43,42,,0.8541867469879518,,,,,,,,0.9278454792031832,,,,,,,0.9278454792031832,,,,0.4815736133605242,,,,0.9278454792031832,,147160,,8540,
run,binary_hgq_mlp_64_32_32,binary_hgq_mlp_64_32_32__seed44,hgq,hgq_mlp,44,42,,0.8547349397590361,,,,,,,,0.9276077925221098,,,,,,,0.9276077925221099,,,,0.5032568098977208,,,,0.9276077925221098,,147160,,8540,
run,binary_hgq_topo_128_32,binary_hgq_topo_128_32__seed42,hgq,hgq_mlp,42,42,,0.853578313253012,,,,,,,,0.9273320884319115,,,,,,,0.9273320884319116,,,,0.5228361068293452,,,,0.9273320884319116,,190328,,12698,
run,binary_hgq_topo_128_32,binary_hgq_topo_128_32__seed43,hgq,hgq_mlp,43,42,,0.8540602409638555,,,,,,,,0.928158432208669,,,,,,,0.9281584322086689,,,,0.47974929213523865,,,,0.9281584322086689,,190328,,12698,
run,binary_hgq_topo_128_32,binary_hgq_topo_128_32__seed44,hgq,hgq_mlp,44,42,,0.8526506024096385,,,,,,,,0.927141615583405,,,,,,,0.9271416155834051,,,,0.48015941865742207,,,,0.9271416155834051,,190328,,12698,
run,binary_mlp_baseline_64_32_32,binary_mlp_baseline_64_32_32__seed42,pytorch,mlp_baseline,42,42,,0.8598433734939759,,,,,,,,0.9324996430439101,,,,,,,0.9324996431957115,,,,0.042628152295947075,,,,0.9324996431198108,,22940,,4257,
run,binary_mlp_baseline_64_32_32,binary_mlp_baseline_64_32_32__seed43,pytorch,mlp_baseline,43,42,,0.8594156626506024,,,,,,,,0.9323458150176092,,,,,,,0.9323458159284166,,,,0.041423761285841465,,,,0.9323458154730129,,22940,,4257,
run,binary_mlp_baseline_64_32_32,binary_mlp_baseline_64_32_32__seed44,pytorch,mlp_baseline,44,42,,0.8593614457831326,,,,,,,,0.9325757140667588,,,,,,,0.932575714825765,,,,0.0387352192774415,,,,0.9325757144462619,,22940,,4257,
run,binary_mlp_topo_128_32,binary_mlp_topo_128_32__seed42,pytorch,mlp_topo,42,42,,0.8593734939759036,,,,,,,,0.9320562744710033,,,,,,,0.9320562732565932,,,,0.03298050258308649,,,,0.9320562738637983,,30510,,6337,
run,binary_mlp_topo_128_32,binary_mlp_topo_128_32__seed43,pytorch,mlp_topo,43,42,,0.8593072289156627,,,,,,,,0.9325106022593895,,,,,,,0.9325106023352902,,,,0.033920034766197205,,,,0.9325106022973398,,30510,,6337,
