task,model,architecture,base_run_name,run_name,seed,config_exists,trained_weights_exist,test_metrics_exist,onnx_or_export_exists,hls_project_exists,csynthesis_report_exists,parsed_hardware_metrics_exist,plots_tables_included,complete
binary_qg_vs_wzt,BitNet binary,128-32,binary_bitnet_topo_sigmoid_f7_fixed,binary_bitnet_topo_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,64-32-32,binary_bit158_sigmoid_f7_fixed,binary_bit158_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,64-32-32,binary_bit158_sigmoid_f7_fixed,binary_bit158_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,64-32-32,binary_bit158_sigmoid_f7_fixed,binary_bit158_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,128-32,binary_bit158_topo_sigmoid_f7_fixed,binary_bit158_topo_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,128-32,binary_bit158_topo_sigmoid_f7_fixed,binary_bit158_topo_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,Bit158 sparse ternary,128-32,binary_bit158_topo_sigmoid_f7_fixed,binary_bit158_topo_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,XGBoost BDT d4x100,100 trees depth 4,binary_xgboost_bdt_d4_100,binary_xgboost_bdt_d4_100__seed42,42,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,XGBoost BDT d4x100,100 trees depth 4,binary_xgboost_bdt_d4_100,binary_xgboost_bdt_d4_100__seed43,43,True,True,True,True,True,True,True,True,True
binary_qg_vs_wzt,XGBoost BDT d4x100,100 trees depth 4,binary_xgboost_bdt_d4_100,binary_xgboost_bdt_d4_100__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,Dense MLP,64-32-32,binary_topqg_mlp_baseline_64_32_32,binary_topqg_mlp_baseline_64_32_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,Dense MLP,64-32-32,binary_topqg_mlp_baseline_64_32_32,binary_topqg_mlp_baseline_64_32_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,Dense MLP,64-32-32,binary_topqg_mlp_baseline_64_32_32,binary_topqg_mlp_baseline_64_32_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,Dense MLP,128-32,binary_topqg_mlp_topo_128_32,binary_topqg_mlp_topo_128_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,Dense MLP,128-32,binary_topqg_mlp_topo_128_32,binary_topqg_mlp_topo_128_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,Dense MLP,128-32,binary_topqg_mlp_topo_128_32,binary_topqg_mlp_topo_128_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras fixed b7,64-32-32,binary_topqg_qkeras_mlp_64_32_32_b7,binary_topqg_qkeras_mlp_64_32_32_b7__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras fixed b7,64-32-32,binary_topqg_qkeras_mlp_64_32_32_b7,binary_topqg_qkeras_mlp_64_32_32_b7__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras fixed b7,64-32-32,binary_topqg_qkeras_mlp_64_32_32_b7,binary_topqg_qkeras_mlp_64_32_32_b7__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras fixed b7,128-32,binary_topqg_qkeras_topo_128_32_b7,binary_topqg_qkeras_topo_128_32_b7__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras fixed b7,128-32,binary_topqg_qkeras_topo_128_32_b7,binary_topqg_qkeras_topo_128_32_b7__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras fixed b7,128-32,binary_topqg_qkeras_topo_128_32_b7,binary_topqg_qkeras_topo_128_32_b7__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,HGQ,64-32-32,binary_topqg_hgq_mlp_64_32_32,binary_topqg_hgq_mlp_64_32_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,HGQ,64-32-32,binary_topqg_hgq_mlp_64_32_32,binary_topqg_hgq_mlp_64_32_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,HGQ,64-32-32,binary_topqg_hgq_mlp_64_32_32,binary_topqg_hgq_mlp_64_32_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,HGQ,128-32,binary_topqg_hgq_topo_128_32,binary_topqg_hgq_topo_128_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,HGQ,128-32,binary_topqg_hgq_topo_128_32,binary_topqg_hgq_topo_128_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,HGQ,128-32,binary_topqg_hgq_topo_128_32,binary_topqg_hgq_topo_128_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras binary,64-32-32,binary_topqg_qkeras_mlp_binary_64_32_32,binary_topqg_qkeras_mlp_binary_64_32_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras binary,64-32-32,binary_topqg_qkeras_mlp_binary_64_32_32,binary_topqg_qkeras_mlp_binary_64_32_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras binary,64-32-32,binary_topqg_qkeras_mlp_binary_64_32_32,binary_topqg_qkeras_mlp_binary_64_32_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras binary,128-32,binary_topqg_qkeras_topo_binary_128_32,binary_topqg_qkeras_topo_binary_128_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras binary,128-32,binary_topqg_qkeras_topo_binary_128_32,binary_topqg_qkeras_topo_binary_128_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras binary,128-32,binary_topqg_qkeras_topo_binary_128_32,binary_topqg_qkeras_topo_binary_128_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras ternary,64-32-32,binary_topqg_qkeras_mlp_ternary_64_32_32,binary_topqg_qkeras_mlp_ternary_64_32_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras ternary,64-32-32,binary_topqg_qkeras_mlp_ternary_64_32_32,binary_topqg_qkeras_mlp_ternary_64_32_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras ternary,64-32-32,binary_topqg_qkeras_mlp_ternary_64_32_32,binary_topqg_qkeras_mlp_ternary_64_32_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras ternary,128-32,binary_topqg_qkeras_topo_ternary_128_32,binary_topqg_qkeras_topo_ternary_128_32__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras ternary,128-32,binary_topqg_qkeras_topo_ternary_128_32,binary_topqg_qkeras_topo_ternary_128_32__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,QKeras ternary,128-32,binary_topqg_qkeras_topo_ternary_128_32,binary_topqg_qkeras_topo_ternary_128_32__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,BitNet binary,64-32-32,binary_topqg_bitnet_sigmoid_f7_fixed,binary_topqg_bitnet_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,BitNet binary,64-32-32,binary_topqg_bitnet_sigmoid_f7_fixed,binary_topqg_bitnet_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,BitNet binary,64-32-32,binary_topqg_bitnet_sigmoid_f7_fixed,binary_topqg_bitnet_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,BitNet binary,128-32,binary_topqg_bitnet_topo_sigmoid_f7_fixed,binary_topqg_bitnet_topo_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,BitNet binary,128-32,binary_topqg_bitnet_topo_sigmoid_f7_fixed,binary_topqg_bitnet_topo_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,BitNet binary,128-32,binary_topqg_bitnet_topo_sigmoid_f7_fixed,binary_topqg_bitnet_topo_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,Bit158 sparse ternary,64-32-32,binary_topqg_bit158_sigmoid_f7_fixed,binary_topqg_bit158_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,Bit158 sparse ternary,64-32-32,binary_topqg_bit158_sigmoid_f7_fixed,binary_topqg_bit158_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,Bit158 sparse ternary,64-32-32,binary_topqg_bit158_sigmoid_f7_fixed,binary_topqg_bit158_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,Bit158 sparse ternary,128-32,binary_topqg_bit158_topo_sigmoid_f7_fixed,binary_topqg_bit158_topo_sigmoid_f7_fixed__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,Bit158 sparse ternary,128-32,binary_topqg_bit158_topo_sigmoid_f7_fixed,binary_topqg_bit158_topo_sigmoid_f7_fixed__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,Bit158 sparse ternary,128-32,binary_topqg_bit158_topo_sigmoid_f7_fixed,binary_topqg_bit158_topo_sigmoid_f7_fixed__seed44,44,True,True,True,True,True,True,True,True,True
binary_topqg,XGBoost BDT d4x100,100 trees depth 4,binary_topqg_xgboost_bdt_d4_100,binary_topqg_xgboost_bdt_d4_100__seed42,42,True,True,True,True,True,True,True,True,True
binary_topqg,XGBoost BDT d4x100,100 trees depth 4,binary_topqg_xgboost_bdt_d4_100,binary_topqg_xgboost_bdt_d4_100__seed43,43,True,True,True,True,True,True,True,True,True
binary_topqg,XGBoost BDT d4x100,100 trees depth 4,binary_topqg_xgboost_bdt_d4_100,binary_topqg_xgboost_bdt_d4_100__seed44,44,True,True,True,True,True,True,True,True,True
multiclass,Dense MLP,64-32-32,mlp_baseline,mlp_baseline__seed42,42,False,True,True,False,True,True,True,True,False
multiclass,Dense MLP,64-32-32,mlp_baseline,mlp_baseline__seed43,43,False,True,True,False,False,False,False,True,False
multiclass,Dense MLP,64-32-32,mlp_baseline,mlp_baseline__seed44,44,False,True,True,False,False,False,False,True,False
multiclass,Dense MLP,128-32,mlp_topo,mlp_topo__seed42,42,False,True,True,False,True,True,True,True,False
multiclass,Dense MLP,128-32,mlp_topo,mlp_topo__seed43,43,False,True,True,False,False,False,False,True,False
multiclass,Dense MLP,128-32,mlp_topo,mlp_topo__seed44,44,False,True,True,False,False,False,False,True,False
multiclass,QKeras fixed b7,64-32-32,qkeras_mlp_b7,qkeras_mlp_b7__seed42,42,False,True,True,True,True,True,True,True,False
multiclass,QKeras fixed b7,64-32-32,qkeras_mlp_b7,qkeras_mlp_b7__seed43,43,False,True,True,True,False,False,False,True,False
multiclass,QKeras fixed b7,64-32-32,qkeras_mlp_b7,qkeras_mlp_b7__seed44,44,False,True,True,True,False,False,False,True,False
multiclass,QKeras binary,64-32-32,qkeras_mlp_binary,qkeras_mlp_binary__seed42,42,True,True,True,True,True,True,True,True,True
multiclass,QKeras binary,64-32-32,qkeras_mlp_binary,qkeras_mlp_binary__seed43,43,True,False,False,True,False,False,False,True,False
multiclass,QKeras binary,64-32-32,qkeras_mlp_binary,qkeras_mlp_binary__seed44,44,True,False,False,True,False,False,False,True,False
multiclass,QKeras ternary,64-32-32,qkeras_mlp_ternary,qkeras_mlp_ternary__seed42,42,True,True,True,True,True,True,True,True,True
multiclass,QKeras ternary,64-32-32,qkeras_mlp_ternary,qkeras_mlp_ternary__seed43,43,True,False,False,True,False,False,False,True,False
multiclass,QKeras ternary,64-32-32,qkeras_mlp_ternary,qkeras_mlp_ternary__seed44,44,True,False,False,True,False,False,False,True,False
multiclass,HGQ,64-32-32,hgq_mlp,hgq_mlp__seed42,42,True,True,True,True,True,True,True,True,True
multiclass,HGQ,64-32-32,hgq_mlp,hgq_mlp__seed43,43,True,True,True,True,False,False,False,True,False
multiclass,HGQ,64-32-32,hgq_mlp,hgq_mlp__seed44,44,True,True,True,True,False,False,False,True,False
multiclass,HGQ,128-32,hgq_mlp_topo,hgq_mlp_topo__seed42,42,True,True,True,True,True,True,True,True,True
multiclass,HGQ,128-32,hgq_mlp_topo,hgq_mlp_topo__seed43,43,True,False,False,True,False,False,False,True,False
multiclass,HGQ,128-32,hgq_mlp_topo,hgq_mlp_topo__seed44,44,True,False,False,True,False,False,False,True,False
multiclass,BitNet binary,64-32-32,bitnet_mlp_f7_fixed,bitnet_mlp_f7_fixed__seed42,42,False,True,True,True,True,True,True,True,False
multiclass,BitNet binary,64-32-32,bitnet_mlp_f7_fixed,bitnet_mlp_f7_fixed__seed43,43,False,True,True,True,True,True,True,True,False
multiclass,BitNet binary,64-32-32,bitnet_mlp_f7_fixed,bitnet_mlp_f7_fixed__seed44,44,False,True,True,True,True,True,True,True,False
multiclass,BitNet binary,128-32,bitnet_topo_f7_fixed,bitnet_topo_f7_fixed__seed42,42,False,True,True,True,True,True,True,True,False
multiclass,BitNet binary,128-32,bitnet_topo_f7_fixed,bitnet_topo_f7_fixed__seed43,43,False,True,True,True,True,True,True,True,False
multiclass,BitNet binary,128-32,bitnet_topo_f7_fixed,bitnet_topo_f7_fixed__seed44,44,False,True,True,True,True,True,True,True,False
multiclass,Bit158 sparse ternary,64-32-32,bit158_mlp_f7_fixed,bit158_mlp_f7_fixed__seed42,42,False,True,True,True,True,True,True,True,False
multiclass,Bit158 sparse ternary,64-32-32,bit158_mlp_f7_fixed,bit158_mlp_f7_fixed__seed43,43,False,True,True,True,True,True,True,True,False
multiclass,Bit158 sparse ternary,64-32-32,bit158_mlp_f7_fixed,bit158_mlp_f7_fixed__seed44,44,False,True,True,True,True,True,True,True,False
multiclass,Bit158 sparse ternary,128-32,bit158_topo_f7_fixed,bit158_topo_f7_fixed__seed42,42,False,True,True,True,True,True,True,True,False
multiclass,Bit158 sparse ternary,128-32,bit158_topo_f7_fixed,bit158_topo_f7_fixed__seed43,43,False,True,True,True,True,True,True,True,False
multiclass,Bit158 sparse ternary,128-32,bit158_topo_f7_fixed,bit158_topo_f7_fixed__seed44,44,False,True,True,True,True,True,True,True,False
multiclass,XGBoost BDT,available,xgboost_bdt,xgboost_bdt__seed42,42,True,True,True,True,True,False,False,True,False
multiclass,XGBoost BDT,available,xgboost_bdt,xgboost_bdt__seed43,43,True,True,True,True,False,False,False,True,False
multiclass,XGBoost BDT,available,xgboost_bdt,xgboost_bdt__seed44,44,True,True,True,True,False,False,False,True,False
