run_name,base_run_name,seed,model_name,backend,hidden_dims,accuracy,macro_auc,cross_entropy,parameter_count,cpu_latency_ms,synthesis_variant,implementation_boundary,synth_status,clock_target_ns,clock_achieved_ns,latency_cycles,latency_at_target_ns,ii_cycles,lut,ff,dsp,bram_18k,uram
binary_mlp_baseline_64_32_32__seed42,binary_mlp_baseline_64_32_32,42,mlp_baseline,pytorch,64-32-32,0.8598433734939759,0.9324996431198108,0.31568903569668993,4257,0.042628152295947075,hls4ml_latency_rf1,binary sigmoid output; no softmax,success,5.0,4.37,12,60.0,1,183159,31903,3479,1,0
binary_qkeras_topo_128_32_b7__seed43,binary_qkeras_topo_128_32_b7,43,qkeras_mlp,qkeras,128-32,0.8597771084337349,0.932652113663417,0.31575717456370295,6337,0.2428610296919942,hls4ml_latency_rf1,binary sigmoid output; no softmax,success,5.0,4.368,8,40.0,1,189386,16182,781,1,0
binary_qkeras_topo_128_32_b7__seed44,binary_qkeras_topo_128_32_b7,44,qkeras_mlp,qkeras,128-32,0.8597530120481928,0.9322459758655477,0.3165580894800011,6337,0.2500254148617387,hls4ml_latency_rf1,binary sigmoid output; no softmax,success,5.0,4.362,8,40.0,1,188000,15772,727,1,0
binary_qkeras_mlp_64_32_32_b7__seed43,binary_qkeras_mlp_64_32_32_b7,43,qkeras_mlp,qkeras,64-32-32,0.8597469879518073,0.9324038079534698,0.31638196105566474,4257,0.26306319516152143,hls4ml_latency_rf1,binary sigmoid output; no softmax,success,5.0,4.368,9,45.0,1,134848,10578,676,1,0
binary_hgq_mlp_64_32_32__seed44,binary_hgq_mlp_64_32_32,44,hgq_mlp,hgq,64-32-32,0.8547349397590361,0.9276077925221098,0.3270649969260065,8540,0.5032568098977208,hls4ml_latency_rf1,binary sigmoid output; no softmax,success,5.0,4.344,6,30.0,1,7425,551,0,1,0
binary_xgboost_bdt_d4_100__seed42,binary_xgboost_bdt_d4_100,42,xgboost_bdt,xgboost,,0.8474819277108434,0.9207411789830275,0.34036610858280536,3098,0.18424739129841328,conifer_unrolled,BDT ensemble top-level score; no neural sigmoid or softmax,success,5.0,3.617,4,20.0,1,73977,2806,0,0,0
binary_xgboost_bdt_d4_100__seed44,binary_xgboost_bdt_d4_100,44,xgboost_bdt,xgboost,,0.8470301204819277,0.9207318808906974,0.3401484240680326,3100,0.18614328000694513,conifer_unrolled,BDT ensemble top-level score; no neural sigmoid or softmax,success,5.0,3.617,4,20.0,1,73970,2780,0,0,0
