base_run_name,variant,n,valid_hw_n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,auc_mean,auc_std,auc_min,auc_max,latency_cycles_mean,latency_cycles_std,latency_cycles_min,latency_cycles_max,lut_mean,lut_std,lut_min,lut_max,ff_mean,ff_std,ff_min,ff_max,dsp_mean,dsp_std,dsp_min,dsp_max,bram18_mean,bram18_std,bram18_min,bram18_max
binary_bit158_sigmoid_f7_fixed,custom_v9_logits,3,3,0.848937751004016,0.001944816177108414,0.8467409638554216,0.8504397590361445,0.9232442353028806,0.0012480446006901743,0.9218601438091953,0.9242838920077538,9.0,0.0,9.0,9.0,91810.33333333333,771.0709003284544,90920.0,92261.0,16088.0,393.91877335308607,15666.0,16446.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
binary_bit158_sigmoid_f7_fixed,custom_v9_sigmoid,3,3,0.848937751004016,0.001944816177108414,0.8467409638554216,0.8504397590361445,0.9232442353028806,0.0012480446006901743,0.9218601438091953,0.9242838920077538,9.0,0.0,9.0,9.0,91932.33333333333,769.3388936829681,91044.0,92382.0,15450.333333333334,378.96877619842684,15047.0,15799.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
binary_bit158_topo_sigmoid_f7_fixed,custom_v9_logits,3,3,0.8500020080321286,0.0010379875269768708,0.8488132530120482,0.8507289156626506,0.9233444232309684,0.0007145997084652673,0.9225514387786714,0.92393848693064,9.0,0.0,9.0,9.0,100131.66666666667,7853.303529937789,92183.0,107886.0,20625.666666666668,1186.2568580764173,19367.0,21723.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
binary_bit158_topo_sigmoid_f7_fixed,custom_v9_sigmoid,3,3,0.8500020080321286,0.0010379875269768708,0.8488132530120482,0.8507289156626506,0.9233444232309684,0.0007145997084652673,0.9225514387786714,0.92393848693064,8.0,0.0,8.0,8.0,99953.66666666667,7854.821788769834,92003.0,107709.0,19993.666666666668,1076.0377936361406,18837.0,20965.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
binary_bitnet_sigmoid_f7_fixed,custom_v9_logits,3,3,0.8453835341365462,0.000320204004261482,0.8451867469879518,0.8457530120481928,0.9175844952135878,0.0006280746227575227,0.9168716834413151,0.9180566692505001,7.0,0.0,7.0,7.0,88879.0,1159.3752628032048,87544.0,89633.0,14794.666666666666,1455.7583361716784,13125.0,15798.0,601.6666666666666,19.295940851208403,580.0,617.0,0.0,0.0,0.0,0.0
binary_bitnet_sigmoid_f7_fixed,custom_v9_sigmoid,3,2,0.8453835341365462,0.000320204004261482,0.8451867469879518,0.8457530120481928,0.9175844952135878,0.0006280746227575227,0.9168716834413151,0.9180566692505001,8.0,0.0,8.0,8.0,88744.0,1475.0247455551382,87701.0,89787.0,13302.0,340.82546853191593,13061.0,13543.0,596.5,26.16295090390226,578.0,615.0,1.0,0.0,1.0,1.0
binary_bitnet_sigmoid_f7_fixed,hls4ml_parent_v26_patch_sigmoid,3,3,0.8453835341365462,0.000320204004261482,0.8451867469879518,0.8457530120481928,0.9175844952135878,0.0006280746227575227,0.9168716834413151,0.9180566692505001,12.0,0.0,12.0,12.0,88348.66666666667,262.29817638202013,88120.0,88635.0,16516.0,428.12614963349296,16082.0,16938.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
binary_bitnet_topo_sigmoid_f7_fixed,custom_v9_logits,3,3,0.8461004016064257,0.001389783102727824,0.8448493975903615,0.8475963855421687,0.9190542730997184,0.0011581474662584927,0.9178488895412658,0.9201585557594041,6.0,0.0,6.0,6.0,122389.33333333333,1243.9092946567018,121369.0,123775.0,15177.0,110.8692924122816,15075.0,15295.0,766.6666666666666,19.75685535031659,749.0,788.0,0.0,0.0,0.0,0.0
binary_bitnet_topo_sigmoid_f7_fixed,custom_v9_sigmoid,3,3,0.8461004016064257,0.001389783102727824,0.8448493975903615,0.8475963855421687,0.9190542730997184,0.0011581474662584927,0.9178488895412658,0.9201585557594041,6.0,0.0,6.0,6.0,122540.33333333333,1243.9092946567018,121520.0,123926.0,18700.666666666668,40.15387071420803,18657.0,18736.0,764.6666666666666,19.75685535031659,747.0,786.0,1.0,0.0,1.0,1.0
binary_hgq_mlp_64_32_32,hls4ml_latency_rf1,3,3,0.8537971887550201,0.00118171112647401,0.8524698795180723,0.8547349397590361,0.9276084077472835,0.00023676444280497488,0.9273719515165576,0.9278454792031832,6.333333333333333,0.5773502691896257,6.0,7.0,8043.0,794.3626375906662,7425.0,8939.0,616.3333333333334,90.00740710260091,551.0,719.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
